Luas Penutupan Lahan Indonesia Di Dalam Dan Di Luar Kawasan Hutan Tahun 2014-2023 Menurut Kelas (Ribu Ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Penutupan Lahan,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,
,,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL,Kawasan Hutan,APL (Areal Penggunaan Lain) / Bukan Kawasan Hutan,TOTAL
,A. Hutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hutan lahan kering primer ,37 062.6, 991.9,38 054.4,37 310.8,1 092.4,38 403.3,38 151.5,1 204.6,39 356.1,38 293.5,1 203.1,39 496.6,38 866.1,1 163.6,40 029.7,39 070.2,1 193.5,40 263.8,39 353.0,1 196.9,40 549.9,38 424.7,1 261.0,39 685.7,38 709.6,1 268.6,39 978.2,37 127.2,1 294.4,38 421.6
2,Hutan lahan kering sekunder,34 277.0,4 121.6,38 398.6,33 084.1,4 522.7,37 606.8,32 516.8,3 989.3,36 506.1,31 761.9,4 194.0,35 955.9,31 015.0,4 133.0,35 148.0,30 460.7,3 846.9,34 307.6,30 883.2,3 856.9,34 740.1,31 785.8,4 174.8,35 960.6,31 713.0,4 244.2,35 957.1,33 400.6,4 323.1,37 723.7
3,Hutan rawa primer,5 140.0, 171.4,5 311.4,5 099.7, 169.0,5 268.7,5 024.2, 156.5,5 180.7,5 031.5, 167.4,5 198.9,5 030.3, 161.8,5 192.1,4 837.7, 165.9,5 003.7,4 705.6, 157.2,4 862.9,4 571.4, 193.2,4 764.6,4 701.7, 240.5,4 942.2,4 753.7, 262.0,5 015.7
4,Hutan rawa sekunder,5 434.0, 855.1,6 289.1,5 347.2, 838.7,6 185.9,5 182.0, 740.5,5 922.5,5 030.4, 789.0,5 819.4,5 014.4, 744.4,5 758.8,5 798.6, 719.0,6 517.5,6 193.0, 786.9,6 979.8,5 529.5, 771.6,6 301.1,5 588.0, 796.9,6 384.8,5 421.2, 773.1,6 194.3
5,Hutan mangrove primer,1 374.5, 136.1,1 510.7,1 366.4, 130.0,1 496.4,1 353.9, 129.7,1 483.6,1 330.0, 117.5,1 447.5,1 324.1, 117.8,1 441.9,1 373.5, 127.6,1 501.1,1 458.4, 125.2,1 583.5,1 693.2, 127.1,1 820.3,1 597.6, 129.5,1 727.1,1 590.6, 126.7,1 717.3
6,Hutan mangrove sekunder,1 024.5, 382.8,1 407.3,1 006.8, 391.6,1 398.4,1 017.1, 381.9,1 399.1, 993.6, 377.7,1 371.3, 986.3, 360.4,1 346.7,1 057.1, 353.9,1 411.1,1 021.9, 374.1,1 396.0,1 036.3, 408.8,1 445.1,1 043.8, 451.5,1 495.4,1 098.3, 511.5,1 609.9
7,Hutan tanaman *,3 823.5, 971.4,4 794.9,3 410.6,1 257.9,4 668.4,4 482.7, 941.0,5 423.7,3 409.0,1 251.2,4 660.2,3 386.0,1 223.1,4 609.1,4 301.7, 807.7,5 109.4,4 798.1, 651.6,5 449.7,4 808.9, 549.2,5 358.1,4 939.2, 545.4,5 484.5,4 968.0, 580.9,5 548.9
,Jumlah Hutan,88 136.1,7 630.3,95 766.4,86 625.6,8 402.4,95 028.0,87 728.3,7 543.6,95 271.9,85 849.9,8 099.9,93 949.7,85 622.0,7 904.1,93 526.2,86 899.6,7 214.5,94 114.1,88 413.2,7 148.7,95 561.9,87 849.7,7 485.7,95 335.5,88 292.9,7 676.6,95 969.4,88 359.5,7 871.8,96 231.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B. Non Hutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Semak/Belukar,8 298.1,6 402.3,14 700.4,8 617.1,5 788.1,14 405.3,7 526.4,5 591.4,13 117.8,8 746.6,6 458.9,15 205.5,8 081.4,5 172.1,13 253.5,7 428.4,5 235.2,12 663.6,6 589.0,4 741.2,11 330.2,5 927.4,4 358.0,10 285.4,5 698.8,3 861.3,9 560.2,5 719.9,3 973.0,9 692.9
9,Belukar rawa,5 302.7,3 045.3,8 347.9,5 259.1,2 766.5,8 025.6,5 175.9,2 541.7,7 717.6,5 487.2,2 619.9,8 107.1,5 279.2,2 358.9,7 638.1,5 395.3,2 205.3,7 600.6,5 514.3,2 179.9,7 694.2,5 188.1,2 402.3,7 590.4,4 946.1,2 193.5,7 139.6,4 967.9,2 144.5,7 112.3
10,Savana,1 773.7,1 112.6,2 886.3,1 569.4,1 019.8,2 589.2,1 747.6,1 166.8,2 914.4,1 648.4, 958.5,2 606.9,1 876.0, 987.9,2 863.9,1 762.8,1 148.0,2 910.8,1 698.1,1 070.9,2 769.0,1 739.7,1 053.2,2 792.9,1 651.9,1 058.9,2 710.8,1 602.1, 999.8,2 601.9
11,Perkebunan,2 455.5,9 105.0,11 560.4,2 606.8,9 845.8,12 452.6,3 150.1,11 567.4,14 717.5,3 356.3,11 972.7,15 329.0,3 530.5,12 181.4,15 711.9,3 934.9,14 073.0,18 007.9,4 276.7,15 267.6,19 544.2,4 428.8,16 521.2,20 950.0,4 422.7,17 151.1,21 573.8,4 778.1,17 687.9,22 465.9
12,Pertanian lahan kering,1 756.0,8 221.4,9 977.4,1 735.1,8 126.7,9 861.7,1 724.8,7 990.3,9 715.1,1 797.8,7 309.2,9 107.0,1 801.3,7 757.0,9 558.3,1 683.6,7 115.1,8 798.8,1 519.5,6 689.7,8 209.2,1 464.7,6 727.2,8 191.9,1 380.0,6 450.5,7 830.5,1 142.4,5 454.1,6 596.5
13,Pertanian lahan kering campur semak,8 652.7,18 748.3,27 401.0,8 691.0,17 898.1,26 589.1,9 048.8,17 663.8,26 712.6,8 613.4,16 286.2,24 899.6,9 589.9,17 647.6,27 237.5,9 465.4,16 832.1,26 297.5,9 169.4,16 894.4,26 063.8,8 591.5,16 772.2,25 363.7,8 514.0,16 738.6,25 252.6,8 251.5,17 399.9,25 651.4
14,Transmigrasi, 18.6, 249.6, 268.1, 18.8, 241.9, 260.7, 17.3, 250.3, 267.6, 66.0, 725.1, 791.1, 15.2, 226.6, 241.8, 13.2, 211.4, 224.6, 9.7, 174.7, 184.5, 5.6, 185.4, 191.0, 5.0, 180.3, 185.3, 3.6, 184.9, 188.5
15,Sawah, 366.4,7 293.1,7 659.5, 356.7,7 518.3,7 874.9, 305.4,7 535.8,7 841.2, 328.2,7 468.0,7 796.2, 331.8,7 406.6,7 738.4, 289.1,7 594.9,7 884.0, 244.0,7 632.7,7 876.6, 238.5,7 850.0,8 088.5, 243.4,7 828.7,8 072.1, 243.6,7 777.1,8 020.7
16,Tambak, 321.8, 531.1, 852.8, 333.1, 523.6, 856.7, 348.9, 574.7, 923.6, 360.9, 567.0, 927.9, 377.8, 788.5,1 166.4, 345.7, 625.7, 971.5, 327.9, 650.9, 978.8, 320.5, 660.5, 981.0, 323.7, 671.8, 995.4, 309.6, 673.5, 983.1
17,Tanah terbuka,2 175.6,1 406.0,3 581.7,3 183.8,1 583.4,4 767.2,2 193.0,1 192.5,3 385.5,2 593.0, 955.2,3 548.2,2 325.0, 841.1,3 166.2,1 578.6, 891.3,2 469.9,1 010.7, 581.2,1 591.9, 972.9, 453.0,1 425.9, 843.9, 365.5,1 209.4, 880.6, 351.7,1 232.3
18,Pertambangan, 238.0, 342.7, 580.7, 255.7, 354.2, 610.0, 293.1, 383.9, 677.0, 302.2, 399.3, 701.5, 312.5, 431.4, 743.9, 346.0, 464.4, 810.4, 343.7, 462.2, 805.9, 347.6, 498.9, 846.5, 370.9, 526.6, 897.4, 377.0, 550.4, 927.4
19,Permukiman, 81.1,2 532.5,2 613.6, 92.8,2 756.3,2 849.1, 78.2,3 006.4,3 084.6, 84.0,3 233.4,3 317.4, 101.6,3 359.9,3 461.5, 112.5,3 556.8,3 669.4, 115.6,3 691.1,3 806.7, 122.0,3 944.6,4 066.6, 150.3,4 330.5,4 480.8, 113.1,4 306.8,4 419.9
20,Rawa,1 193.6, 343.4,1 537.0,1 217.0, 344.5,1 561.5,1 085.4, 298.7,1 384.0,1 155.5, 287.6,1 443.1,1 140.2, 281.3,1 421.5,1 025.5, 278.5,1 304.0,1 028.7, 279.5,1 308.2,1 167.3, 373.7,1 541.0,1 350.1, 328.5,1 678.6,1 443.0, 338.7,1 781.7
21,Pelabuhan Udara/Laut, 0.5, 18.1, 18.6, 0.5, 20.0, 20.5, 0.7, 20.6, 21.3, 0.6, 20.9, 21.5, 1.1, 21.7, 22.9, 1.0, 23.9, 24.9, 1.3, 25.6, 26.9, 1.1, 27.6, 28.7, 1.1, 31.0, 32.2, 1.1, 31.5, 32.5
,Jumlah Non Hutan,32 634.2,59 351.3,91 985.5,33 936.8,58 787.1,92 723.9,32 695.6,59 784.4,92 480.0,34 540.3,59 261.9,93 802.1,34 763.6,59 462.1,94 225.7,33 382.0,60 255.8,93 637.8,31 848.4,60 341.5,92 189.9,30 515.8,61 828.0,92 343.5,29 901.9,61 716.4,91 618.3,29 833.7,61 873.6,91 707.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,120 770.3,66 981.6,187 751.9,120 562.4,67 189.5,187 751.9,120 423.8,67 328.0,187 751.9,120 390.1,67 361.7,187 751.9,120 385.7,67 366.2,187 751.9,120 281.6,67 470.3,187 751.9,120 261.6,67 490.2,187 751.9,118 365.5,69 313.7,187 679.0,118 194.7,69 393.0,187 587.6,118 193.2,69 745.5,187 938.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keterangan,": Tubuh air (danau, sungai besar, laut (kawasan konservasi perairan) tidak termasuk  dalam penghitungan.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(*,": Hutan tanaman berdasarkan penafsiran  citra adalah kelas penutupan lahan hutan  yang merupakan hasil budidaya manusia, meliputi seluruh Hutan tanaman baik Hutan Tanaman Industri/IUPHHK-HT maupun  Hutan tanaman yang merupakan hasil reboisasi/penghijauan yang berada  di dalam maupun  di luar kawasan  hutan; terlihat dari citra mempunyai  pola tanam  yang teratur  pada area datar, sedangkan untuk daerah  bergelombang terlihat warna citra yang berbeda dengan lingkungan sekitarnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sumber ,": Buku Rekalkulasi Penutupan Lahan Indonesia Tahun 2014-2023, Kementerian Lingkungan Hidup dan Kehutanan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,